Timestamp,X,Y,Z
0.0048,-0.001,0.7926,0.2997
0.0248,-0.0017,0.7963,0.2993
0.0448,-0.0014,0.8014,0.3001
0.0648,-0.0011,0.8043,0.3012
0.0848,0.002,0.8118,0.3054
0.1048,0.0038,0.8156,0.3078
0.1248,0.0074,0.8205,0.3126
0.1448,0.0222,0.8304,0.3339
0.1648,0.0324,0.8327,0.3458
0.1848,0.0565,0.835,0.3779
0.2048,0.0656,0.8346,0.3909
0.2248,0.0877,0.8323,0.4202
0.2448,0.0958,0.8326,0.4342
0.2648,0.1038,0.834,0.4501
0.2848,0.1064,0.8309,0.4583
0.3048,0.1071,0.8303,0.4621
0.3248,0.1162,0.8231,0.4766
0.3448,0.1179,0.8222,0.4784
0.3648,0.1165,0.8218,0.4808
0.3848,0.1183,0.8196,0.4845
0.4048,0.1214,0.8144,0.49
0.4248,0.1208,0.8142,0.4905
0.4448,0.1203,0.814,0.491
0.4648,0.1182,0.81,0.4927
0.4848,0.1164,0.8088,0.4916
0.5048,0.1124,0.8053,0.4898
0.5248,0.111,0.8029,0.4892
0.5448,0.1078,0.7979,0.4879
0.5648,0.1064,0.7953,0.4869
0.5848,0.105,0.7944,0.486
0.6048,0.104,0.7961,0.4853
0.6248,0.1037,0.7972,0.4851
0.6448,0.1035,0.7996,0.4853
0.6648,0.1026,0.8018,0.4846
0.6848,0.1036,0.8009,0.4839
0.7048,0.1041,0.8004,0.4836
